=== Heap Fragmentation Log ===
Date/Time: 2026-01-17 12:10:14
Timestamp: 389699 ms
Current Heap: free=70192, largestBlock=23540 (33.5%), freeBlocks=20
Baseline: largestBlock=233460 (set 388593 ms ago)
Degradation: 209920 bytes (89.9% loss from baseline)

=== Recent Operations (last 300) ===
[  388819] WebClientModule:346  | WebClient::accessResource      | heap= 71112, largest= 23540 (33.1%)
[  388819] WebClientModule:346  | WebClient::accessResource      | heap= 71096, largest= 23540 (33.1%)
[  388820] SofaScoreLiveMo:646  | SofaScore::queueData           | heap= 71160, largest= 23540 (33.1%)
[  388820] WebClientModule:346  | WebClient::accessResource      | heap= 71080, largest= 23540 (33.1%)
[  388820] WebClientModule:346  | WebClient::accessResource      | heap= 71064, largest= 23540 (33.1%)
[  388821] CalendarModule.:94   | CalendarModule::queueData      | heap= 71160, largest= 23540 (33.1%)
[  388821] WebClientModule:346  | WebClient::accessResource      | heap= 70984, largest= 23540 (33.2%)
[  388821] CuriousHolidays:315  | CuriousHolidaysModule::queueDat | heap= 71160, largest= 23540 (33.1%)
[  388822] WebClientModule:346  | WebClient::accessResource      | heap= 71080, largest= 23540 (33.1%)
[  388822] WeatherModule.c:138  | WeatherModule::queueData       | heap= 71160, largest= 23540 (33.1%)
[  388822] WebClientModule:346  | WebClient::accessResource      | heap= 70484, largest= 23540 (33.4%)
[  388822] ThemeParkModule:154  | ThemeParkModule::queueData     | heap= 71160, largest= 23540 (33.1%)
[  388824] TankerkoenigMod:240  | Tankerkoenig::processData      | heap= 71160, largest= 23540 (33.1%)
[  388824] DartsRankingMod:448  | DartsRankingModule::processData | heap= 71160, largest= 23540 (33.1%)
[  388824] SofaScoreLiveMo:821  | SofaScore::processData         | heap= 71160, largest= 23540 (33.1%)
[  388824] CalendarModule.:112  | CalendarModule::processData    | heap= 71160, largest= 23540 (33.1%)
[  388825] CuriousHolidays:368  | CuriousHolidaysModule::processD | heap= 71160, largest= 23540 (33.1%)
[  388825] WeatherModule.c:204  | WeatherModule::processData     | heap= 71160, largest= 23540 (33.1%)
[  388825] ThemeParkModule:304  | ThemeParkModule::processData   | heap= 71160, largest= 23540 (33.1%)
[  388837] TankerkoenigMod:222  | Tankerkoenig::queueData        | heap= 71160, largest= 23540 (33.1%)
[  388837] WebClientModule:346  | WebClient::accessResource      | heap= 70628, largest= 23540 (33.3%)
[  388837] DartsRankingMod:411  | DartsRankingModule::queueData  | heap= 71160, largest= 23540 (33.1%)
[  388837] WebClientModule:346  | WebClient::accessResource      | heap= 71112, largest= 23540 (33.1%)
[  388838] WebClientModule:346  | WebClient::accessResource      | heap= 71096, largest= 23540 (33.1%)
[  388838] SofaScoreLiveMo:646  | SofaScore::queueData           | heap= 71160, largest= 23540 (33.1%)
[  388838] WebClientModule:346  | WebClient::accessResource      | heap= 71080, largest= 23540 (33.1%)
[  388839] WebClientModule:346  | WebClient::accessResource      | heap= 71064, largest= 23540 (33.1%)
[  388839] CalendarModule.:94   | CalendarModule::queueData      | heap= 71160, largest= 23540 (33.1%)
[  388839] WebClientModule:346  | WebClient::accessResource      | heap= 70984, largest= 23540 (33.2%)
[  388839] CuriousHolidays:315  | CuriousHolidaysModule::queueDat | heap= 71160, largest= 23540 (33.1%)
[  388840] WebClientModule:346  | WebClient::accessResource      | heap= 71080, largest= 23540 (33.1%)
[  388840] WeatherModule.c:138  | WeatherModule::queueData       | heap= 71160, largest= 23540 (33.1%)
[  388840] WebClientModule:346  | WebClient::accessResource      | heap= 70484, largest= 23540 (33.4%)
[  388841] ThemeParkModule:154  | ThemeParkModule::queueData     | heap= 71160, largest= 23540 (33.1%)
[  388842] TankerkoenigMod:240  | Tankerkoenig::processData      | heap= 71160, largest= 23540 (33.1%)
[  388842] DartsRankingMod:448  | DartsRankingModule::processData | heap= 71160, largest= 23540 (33.1%)
[  388842] SofaScoreLiveMo:821  | SofaScore::processData         | heap= 71160, largest= 23540 (33.1%)
[  388843] CalendarModule.:112  | CalendarModule::processData    | heap= 71160, largest= 23540 (33.1%)
[  388843] CuriousHolidays:368  | CuriousHolidaysModule::processD | heap= 71160, largest= 23540 (33.1%)
[  388843] WeatherModule.c:204  | WeatherModule::processData     | heap= 71160, largest= 23540 (33.1%)
[  388843] ThemeParkModule:304  | ThemeParkModule::processData   | heap= 71160, largest= 23540 (33.1%)
[  388854] TankerkoenigMod:222  | Tankerkoenig::queueData        | heap= 71160, largest= 23540 (33.1%)
[  388855] WebClientModule:346  | WebClient::accessResource      | heap= 70628, largest= 23540 (33.3%)
[  388855] DartsRankingMod:411  | DartsRankingModule::queueData  | heap= 71160, largest= 23540 (33.1%)
[  388855] WebClientModule:346  | WebClient::accessResource      | heap= 71112, largest= 23540 (33.1%)
[  388855] WebClientModule:346  | WebClient::accessResource      | heap= 71096, largest= 23540 (33.1%)
[  388856] SofaScoreLiveMo:646  | SofaScore::queueData           | heap= 71160, largest= 23540 (33.1%)
