=== Heap Fragmentation Log ===
Date/Time: 2026-01-17 12:08:13
Timestamp: 268837 ms
Current Heap: free=69380, largestBlock=29172 (42.0%), freeBlocks=12
Baseline: largestBlock=233460 (set 267731 ms ago)
Degradation: 204288 bytes (87.5% loss from baseline)

=== Recent Operations (last 300) ===
[  268054] CalendarModule.:94   | CalendarModule::queueData      | heap= 70396, largest= 30196 (42.9%)
[  268054] WebClientModule:346  | WebClient::accessResource      | heap= 70220, largest= 29684 (42.3%)
[  268054] CuriousHolidays:315  | CuriousHolidaysModule::queueDat | heap= 70396, largest= 30196 (42.9%)
[  268054] WebClientModule:346  | WebClient::accessResource      | heap= 70316, largest= 30196 (42.9%)
[  268055] WeatherModule.c:138  | WeatherModule::queueData       | heap= 70396, largest= 30196 (42.9%)
[  268055] WebClientModule:346  | WebClient::accessResource      | heap= 69720, largest= 29172 (41.8%)
[  268055] ThemeParkModule:154  | ThemeParkModule::queueData     | heap= 70396, largest= 30196 (42.9%)
[  268057] TankerkoenigMod:240  | Tankerkoenig::processData      | heap= 70396, largest= 30196 (42.9%)
[  268057] DartsRankingMod:448  | DartsRankingModule::processData | heap= 70396, largest= 30196 (42.9%)
[  268057] SofaScoreLiveMo:821  | SofaScore::processData         | heap= 70396, largest= 30196 (42.9%)
[  268057] CalendarModule.:112  | CalendarModule::processData    | heap= 70396, largest= 30196 (42.9%)
[  268058] CuriousHolidays:368  | CuriousHolidaysModule::processD | heap= 70396, largest= 30196 (42.9%)
[  268058] WeatherModule.c:204  | WeatherModule::processData     | heap= 70396, largest= 30196 (42.9%)
[  268058] ThemeParkModule:304  | ThemeParkModule::processData   | heap= 70396, largest= 30196 (42.9%)
[  268069] TankerkoenigMod:222  | Tankerkoenig::queueData        | heap= 70396, largest= 30196 (42.9%)
[  268070] WebClientModule:346  | WebClient::accessResource      | heap= 69864, largest= 29684 (42.5%)
[  268070] DartsRankingMod:411  | DartsRankingModule::queueData  | heap= 70396, largest= 30196 (42.9%)
[  268070] WebClientModule:346  | WebClient::accessResource      | heap= 70348, largest= 30196 (42.9%)
[  268070] WebClientModule:346  | WebClient::accessResource      | heap= 70332, largest= 30196 (42.9%)
[  268071] SofaScoreLiveMo:646  | SofaScore::queueData           | heap= 70396, largest= 30196 (42.9%)
[  268071] WebClientModule:346  | WebClient::accessResource      | heap= 70316, largest= 30196 (42.9%)
[  268071] WebClientModule:346  | WebClient::accessResource      | heap= 70300, largest= 30196 (43.0%)
[  268072] CalendarModule.:94   | CalendarModule::queueData      | heap= 70396, largest= 30196 (42.9%)
[  268072] WebClientModule:346  | WebClient::accessResource      | heap= 70220, largest= 29684 (42.3%)
[  268072] CuriousHolidays:315  | CuriousHolidaysModule::queueDat | heap= 70396, largest= 30196 (42.9%)
[  268073] WebClientModule:346  | WebClient::accessResource      | heap= 70316, largest= 30196 (42.9%)
[  268073] WeatherModule.c:138  | WeatherModule::queueData       | heap= 70396, largest= 30196 (42.9%)
[  268073] WebClientModule:346  | WebClient::accessResource      | heap= 69720, largest= 29172 (41.8%)
[  268073] ThemeParkModule:154  | ThemeParkModule::queueData     | heap= 70396, largest= 30196 (42.9%)
[  268075] TankerkoenigMod:240  | Tankerkoenig::processData      | heap= 70396, largest= 30196 (42.9%)
[  268075] DartsRankingMod:448  | DartsRankingModule::processData | heap= 70396, largest= 30196 (42.9%)
[  268075] SofaScoreLiveMo:821  | SofaScore::processData         | heap= 70396, largest= 30196 (42.9%)
[  268075] CalendarModule.:112  | CalendarModule::processData    | heap= 70396, largest= 30196 (42.9%)
[  268076] CuriousHolidays:368  | CuriousHolidaysModule::processD | heap= 70396, largest= 30196 (42.9%)
[  268076] WeatherModule.c:204  | WeatherModule::processData     | heap= 70396, largest= 30196 (42.9%)
[  268076] ThemeParkModule:304  | ThemeParkModule::processData   | heap= 70396, largest= 30196 (42.9%)
[  268185] TankerkoenigMod:222  | Tankerkoenig::queueData        | heap= 63724, largest= 23540 (36.9%)
[  268186] WebClientModule:346  | WebClient::accessResource      | heap= 63192, largest= 23540 (37.3%)
[  268186] DartsRankingMod:411  | DartsRankingModule::queueData  | heap= 63724, largest= 23540 (36.9%)
[  268186] WebClientModule:346  | WebClient::accessResource      | heap= 63676, largest= 23540 (37.0%)
[  268186] WebClientModule:346  | WebClient::accessResource      | heap= 63660, largest= 23540 (37.0%)
[  268187] SofaScoreLiveMo:646  | SofaScore::queueData           | heap= 63724, largest= 23540 (36.9%)
[  268187] WebClientModule:346  | WebClient::accessResource      | heap= 63644, largest= 23540 (37.0%)
[  268187] WebClientModule:346  | WebClient::accessResource      | heap= 63628, largest= 23540 (37.0%)
[  268188] CalendarModule.:94   | CalendarModule::queueData      | heap= 63724, largest= 23540 (36.9%)
[  268188] WebClientModule:346  | WebClient::accessResource      | heap= 63548, largest= 23540 (37.0%)
