=== Heap Fragmentation Log ===
Date/Time: 2026-01-17 12:06:12
Timestamp: 148075 ms
Current Heap: free=76888, largestBlock=33780 (43.9%), freeBlocks=19
Baseline: largestBlock=233460 (set 146969 ms ago)
Degradation: 199680 bytes (85.5% loss from baseline)

=== Recent Operations (last 300) ===
[  147252] WebClientModule:346  | WebClient::accessResource      | heap= 32720, largest= 10228 (31.3%)
[  147253] WebClientModule:346  | WebClient::accessResource      | heap= 32704, largest= 10228 (31.3%)
[  147253] SofaScoreLiveMo:646  | SofaScore::queueData           | heap= 32768, largest= 10228 (31.2%)
[  147253] WebClientModule:346  | WebClient::accessResource      | heap= 32688, largest= 10228 (31.3%)
[  147254] WebClientModule:346  | WebClient::accessResource      | heap= 32672, largest= 10228 (31.3%)
[  147255] CalendarModule.:94   | CalendarModule::queueData      | heap= 32768, largest= 10228 (31.2%)
[  147255] WebClientModule:346  | WebClient::accessResource      | heap= 32592, largest=  9972 (30.6%)
[  147255] CuriousHolidays:315  | CuriousHolidaysModule::queueDat | heap= 32768, largest= 10228 (31.2%)
[  147256] WebClientModule:346  | WebClient::accessResource      | heap= 32688, largest= 10228 (31.3%)
[  147256] WeatherModule.c:138  | WeatherModule::queueData       | heap= 32768, largest= 10228 (31.2%)
[  147256] WebClientModule:346  | WebClient::accessResource      | heap= 32092, largest=  9460 (29.5%)
[  147257] ThemeParkModule:154  | ThemeParkModule::queueData     | heap= 32768, largest= 10228 (31.2%)
[  147258] TankerkoenigMod:240  | Tankerkoenig::processData      | heap= 32768, largest= 10228 (31.2%)
[  147259] DartsRankingMod:448  | DartsRankingModule::processData | heap= 32768, largest= 10228 (31.2%)
[  147259] SofaScoreLiveMo:821  | SofaScore::processData         | heap= 32768, largest= 10228 (31.2%)
[  147259] CalendarModule.:112  | CalendarModule::processData    | heap= 32768, largest= 10228 (31.2%)
[  147260] CuriousHolidays:368  | CuriousHolidaysModule::processD | heap= 32768, largest= 10228 (31.2%)
[  147260] WeatherModule.c:204  | WeatherModule::processData     | heap= 32768, largest= 10228 (31.2%)
[  147260] ThemeParkModule:304  | ThemeParkModule::processData   | heap= 32768, largest= 10228 (31.2%)
[  147330] TankerkoenigMod:222  | Tankerkoenig::queueData        | heap= 32768, largest= 10228 (31.2%)
[  147330] WebClientModule:346  | WebClient::accessResource      | heap= 32236, largest=  9716 (30.1%)
[  147330] DartsRankingMod:411  | DartsRankingModule::queueData  | heap= 32768, largest= 10228 (31.2%)
[  147331] WebClientModule:346  | WebClient::accessResource      | heap= 32720, largest= 10228 (31.3%)
[  147331] WebClientModule:346  | WebClient::accessResource      | heap= 32704, largest= 10228 (31.3%)
[  147331] SofaScoreLiveMo:646  | SofaScore::queueData           | heap= 32768, largest= 10228 (31.2%)
[  147332] WebClientModule:346  | WebClient::accessResource      | heap= 32688, largest= 10228 (31.3%)
[  147332] WebClientModule:346  | WebClient::accessResource      | heap= 32672, largest= 10228 (31.3%)
[  147333] CalendarModule.:94   | CalendarModule::queueData      | heap= 32768, largest= 10228 (31.2%)
[  147333] WebClientModule:346  | WebClient::accessResource      | heap= 32592, largest=  9972 (30.6%)
[  147333] CuriousHolidays:315  | CuriousHolidaysModule::queueDat | heap= 32768, largest= 10228 (31.2%)
[  147334] WebClientModule:346  | WebClient::accessResource      | heap= 32688, largest= 10228 (31.3%)
[  147334] WeatherModule.c:138  | WeatherModule::queueData       | heap= 32768, largest= 10228 (31.2%)
[  147335] WebClientModule:346  | WebClient::accessResource      | heap= 32092, largest=  9460 (29.5%)
[  147335] ThemeParkModule:154  | ThemeParkModule::queueData     | heap= 32768, largest= 10228 (31.2%)
[  147337] TankerkoenigMod:240  | Tankerkoenig::processData      | heap= 32768, largest= 10228 (31.2%)
[  147337] DartsRankingMod:448  | DartsRankingModule::processData | heap= 32768, largest= 10228 (31.2%)
[  147337] SofaScoreLiveMo:821  | SofaScore::processData         | heap= 32768, largest= 10228 (31.2%)
[  147337] CalendarModule.:112  | CalendarModule::processData    | heap= 32768, largest= 10228 (31.2%)
[  147338] CuriousHolidays:368  | CuriousHolidaysModule::processD | heap= 32768, largest= 10228 (31.2%)
[  147338] WeatherModule.c:204  | WeatherModule::processData     | heap= 32768, largest= 10228 (31.2%)
[  147338] ThemeParkModule:304  | ThemeParkModule::processData   | heap= 32768, largest= 10228 (31.2%)
[  147394] TankerkoenigMod:222  | Tankerkoenig::queueData        | heap= 32572, largest=  9972 (30.6%)
[  147394] WebClientModule:346  | WebClient::accessResource      | heap= 32040, largest=  9460 (29.5%)
[  147394] DartsRankingMod:411  | DartsRankingModule::queueData  | heap= 32572, largest=  9972 (30.6%)
[  147395] WebClientModule:346  | WebClient::accessResource      | heap= 32524, largest=  9972 (30.7%)
[  147395] WebClientModule:346  | WebClient::accessResource      | heap= 32508, largest=  9716 (29.9%)
[  147395] SofaScoreLiveMo:646  | SofaScore::queueData           | heap= 32572, largest=  9972 (30.6%)
[  147396] WebClientModule:346  | WebClient::accessResource      | heap= 32492, largest=  9716 (29.9%)
[  147397] WebClientModule:346  | WebClient::accessResource      | heap= 32428, largest=  9716 (30.0%)
[  147397] CalendarModule.:94   | CalendarModule::queueData      | heap= 32524, largest=  9972 (30.7%)
[  147398] WebClientModule:346  | WebClient::accessResource      | heap= 32348, largest=  9716 (30.0%)
[  147398] CuriousHolidays:315  | CuriousHolidaysModule::queueDat | heap= 32524, largest=  9972 (30.7%)
[  147398] WebClientModule:346  | WebClient::accessResource      | heap= 32444, largest=  9716 (29.9%)
[  147399] WeatherModule.c:138  | WeatherModule::queueData       | heap= 32524, largest=  9972 (30.7%)
[  147399] WebClientModule:346  | WebClient::accessResource      | heap= 31848, largest=  9204 (28.9%)
[  147400] ThemeParkModule:154  | ThemeParkModule::queueData     | heap= 32572, largest=  9972 (30.6%)
[  147401] TankerkoenigMod:240  | Tankerkoenig::processData      | heap= 32572, largest=  9972 (30.6%)
[  147402] DartsRankingMod:448  | DartsRankingModule::processData | heap= 32572, largest=  9972 (30.6%)
[  147402] SofaScoreLiveMo:821  | SofaScore::processData         | heap= 32572, largest=  9972 (30.6%)
[  147402] CalendarModule.:112  | CalendarModule::processData    | heap= 32572, largest=  9972 (30.6%)
[  147403] CuriousHolidays:368  | CuriousHolidaysModule::processD | heap= 32572, largest=  9972 (30.6%)
[  147403] WeatherModule.c:204  | WeatherModule::processData     | heap= 32572, largest=  9972 (30.6%)
[  147403] ThemeParkModule:304  | ThemeParkModule::processData   | heap= 32572, largest=  9972 (30.6%)
[  147471] TankerkoenigMod:222  | Tankerkoenig::queueData        | heap= 32348, largest=  9204 (28.5%)
[  147472] WebClientModule:346  | WebClient::accessResource      | heap= 31816, largest=  8692 (27.3%)
[  147472] DartsRankingMod:411  | DartsRankingModule::queueData  | heap= 32348, largest=  9204 (28.5%)
[  147472] WebClientModule:346  | WebClient::accessResource      | heap= 32300, largest=  9204 (28.5%)
[  147473] WebClientModule:346  | WebClient::accessResource      | heap= 32284, largest=  9204 (28.5%)
[  147474] SofaScoreLiveMo:646  | SofaScore::queueData           | heap= 32348, largest=  9204 (28.5%)
[  147474] WebClientModule:346  | WebClient::accessResource      | heap= 32268, largest=  9204 (28.5%)
[  147474] WebClientModule:346  | WebClient::accessResource      | heap= 32252, largest=  9204 (28.5%)
[  147475] CalendarModule.:94   | CalendarModule::queueData      | heap= 32348, largest=  9204 (28.5%)
[  147475] WebClientModule:346  | WebClient::accessResource      | heap= 32172, largest=  9204 (28.6%)
[  147475] CuriousHolidays:315  | CuriousHolidaysModule::queueDat | heap= 32348, largest=  9204 (28.5%)
[  147476] WebClientModule:346  | WebClient::accessResource      | heap= 32268, largest=  9204 (28.5%)
[  147477] WeatherModule.c:138  | WeatherModule::queueData       | heap= 32348, largest=  9204 (28.5%)
[  147477] WebClientModule:346  | WebClient::accessResource      | heap= 31672, largest=  8692 (27.4%)
[  147478] ThemeParkModule:154  | ThemeParkModule::queueData     | heap= 32348, largest=  9204 (28.5%)
[  147479] TankerkoenigMod:240  | Tankerkoenig::processData      | heap= 32512, largest=  9204 (28.3%)
[  147480] DartsRankingMod:448  | DartsRankingModule::processData | heap= 33008, largest=  9204 (27.9%)
[  147480] SofaScoreLiveMo:821  | SofaScore::processData         | heap= 33972, largest=  9204 (27.1%)
[  147480] CalendarModule.:112  | CalendarModule::processData    | heap= 33972, largest=  9204 (27.1%)
[  147480] CuriousHolidays:368  | CuriousHolidaysModule::processD | heap= 33876, largest=  9204 (27.2%)
[  147481] WeatherModule.c:204  | WeatherModule::processData     | heap= 33824, largest=  9204 (27.2%)
[  147481] ThemeParkModule:304  | ThemeParkModule::processData   | heap= 33828, largest=  9204 (27.2%)
[  147533] TankerkoenigMod:222  | Tankerkoenig::queueData        | heap= 33972, largest=  9204 (27.1%)
[  147533] WebClientModule:346  | WebClient::accessResource      | heap= 33440, largest=  9204 (27.5%)
[  147533] DartsRankingMod:411  | DartsRankingModule::queueData  | heap= 33972, largest=  9204 (27.1%)
[  147533] WebClientModule:346  | WebClient::accessResource      | heap= 33924, largest=  9204 (27.1%)
[  147534] WebClientModule:346  | WebClient::accessResource      | heap= 33908, largest=  9204 (27.1%)
[  147534] SofaScoreLiveMo:646  | SofaScore::queueData           | heap= 33972, largest=  9204 (27.1%)
[  147534] WebClientModule:346  | WebClient::accessResource      | heap= 33892, largest=  9204 (27.2%)
[  147536] WebClientModule:346  | WebClient::accessResource      | heap= 33876, largest=  9204 (27.2%)
[  147536] CalendarModule.:94   | CalendarModule::queueData      | heap= 33972, largest=  9204 (27.1%)
[  147536] WebClientModule:346  | WebClient::accessResource      | heap= 33796, largest=  9204 (27.2%)
[  147536] CuriousHolidays:315  | CuriousHolidaysModule::queueDat | heap= 33972, largest=  9204 (27.1%)
[  147537] WebClientModule:346  | WebClient::accessResource      | heap= 33892, largest=  9204 (27.2%)
[  147537] WeatherModule.c:138  | WeatherModule::queueData       | heap= 33972, largest=  9204 (27.1%)
[  147537] WebClientModule:346  | WebClient::accessResource      | heap= 33296, largest=  9204 (27.6%)
[  147538] ThemeParkModule:154  | ThemeParkModule::queueData     | heap= 33972, largest=  9204 (27.1%)
[  147539] TankerkoenigMod:240  | Tankerkoenig::processData      | heap= 33972, largest=  9204 (27.1%)
[  147539] DartsRankingMod:448  | DartsRankingModule::processData | heap= 33972, largest=  9204 (27.1%)
[  147539] SofaScoreLiveMo:821  | SofaScore::processData         | heap= 33972, largest=  9204 (27.1%)
[  147541] CalendarModule.:112  | CalendarModule::processData    | heap= 33972, largest=  9204 (27.1%)
[  147541] CuriousHolidays:368  | CuriousHolidaysModule::processD | heap= 33764, largest=  9204 (27.3%)
[  147542] WeatherModule.c:204  | WeatherModule::processData     | heap= 33972, largest=  9204 (27.1%)
[  147542] ThemeParkModule:304  | ThemeParkModule::processData   | heap= 33972, largest=  9204 (27.1%)
[  147604] TankerkoenigMod:222  | Tankerkoenig::queueData        | heap= 33688, largest=  9204 (27.3%)
[  147604] WebClientModule:346  | WebClient::accessResource      | heap= 33156, largest=  9204 (27.8%)
[  147604] DartsRankingMod:411  | DartsRankingModule::queueData  | heap= 33688, largest=  9204 (27.3%)
[  147605] WebClientModule:346  | WebClient::accessResource      | heap= 33688, largest=  9204 (27.3%)
[  147605] WebClientModule:346  | WebClient::accessResource      | heap= 33672, largest=  9204 (27.3%)
