=== Heap Fragmentation Log ===
Timestamp: 1208693 ms
Current Heap: free=75516, largestBlock=24564 (32.5%), freeBlocks=21
Baseline: largestBlock=233460 (set 1207570 ms ago)
Degradation: 208896 bytes (89.5% loss from baseline)

=== Recent Operations (last 100) ===
[ 1208062] WebClientModule | WebClient::accessResource      | heap= 75840, largest= 24564 (32.4%)
[ 1208063] TankerkoenigMod | Tankerkoenig::processData      | heap= 76516, largest= 24564 (32.1%)
[ 1208063] SofaScoreLiveMo | SofaScore::processData         | heap= 76516, largest= 24564 (32.1%)
[ 1208074] TankerkoenigMod | Tankerkoenig::queueData        | heap= 76516, largest= 24564 (32.1%)
[ 1208075] WebClientModule | WebClient::accessResource      | heap= 75984, largest= 24564 (32.3%)
[ 1208075] WebClientModule | WebClient::accessResource      | heap= 76468, largest= 24564 (32.1%)
[ 1208075] WebClientModule | WebClient::accessResource      | heap= 76452, largest= 24564 (32.1%)
[ 1208075] SofaScoreLiveMo | SofaScore::queueData           | heap= 76516, largest= 24564 (32.1%)
[ 1208076] WebClientModule | WebClient::accessResource      | heap= 76436, largest= 24564 (32.1%)
[ 1208076] WebClientModule | WebClient::accessResource      | heap= 76332, largest= 24564 (32.2%)
[ 1208076] WebClientModule | WebClient::accessResource      | heap= 76436, largest= 24564 (32.1%)
[ 1208077] WebClientModule | WebClient::accessResource      | heap= 75840, largest= 24564 (32.4%)
[ 1208078] TankerkoenigMod | Tankerkoenig::processData      | heap= 76516, largest= 24564 (32.1%)
[ 1208078] SofaScoreLiveMo | SofaScore::processData         | heap= 76516, largest= 24564 (32.1%)
[ 1208089] TankerkoenigMod | Tankerkoenig::queueData        | heap= 76516, largest= 24564 (32.1%)
[ 1208090] WebClientModule | WebClient::accessResource      | heap= 75984, largest= 24564 (32.3%)
[ 1208090] WebClientModule | WebClient::accessResource      | heap= 76468, largest= 24564 (32.1%)
[ 1208090] WebClientModule | WebClient::accessResource      | heap= 76452, largest= 24564 (32.1%)
[ 1208090] SofaScoreLiveMo | SofaScore::queueData           | heap= 76516, largest= 24564 (32.1%)
[ 1208091] WebClientModule | WebClient::accessResource      | heap= 76436, largest= 24564 (32.1%)
[ 1208091] WebClientModule | WebClient::accessResource      | heap= 76332, largest= 24564 (32.2%)
[ 1208091] WebClientModule | WebClient::accessResource      | heap= 76436, largest= 24564 (32.1%)
[ 1208092] WebClientModule | WebClient::accessResource      | heap= 75840, largest= 24564 (32.4%)
[ 1208094] TankerkoenigMod | Tankerkoenig::processData      | heap= 76468, largest= 24564 (32.1%)
[ 1208094] SofaScoreLiveMo | SofaScore::processData         | heap= 76468, largest= 24564 (32.1%)
[ 1208104] TankerkoenigMod | Tankerkoenig::queueData        | heap= 76468, largest= 24564 (32.1%)
[ 1208105] WebClientModule | WebClient::accessResource      | heap= 75936, largest= 24564 (32.3%)
[ 1208105] WebClientModule | WebClient::accessResource      | heap= 76420, largest= 24564 (32.1%)
[ 1208105] WebClientModule | WebClient::accessResource      | heap= 76404, largest= 24564 (32.2%)
[ 1208105] SofaScoreLiveMo | SofaScore::queueData           | heap= 76468, largest= 24564 (32.1%)
[ 1208106] WebClientModule | WebClient::accessResource      | heap= 76388, largest= 24564 (32.2%)
[ 1208106] WebClientModule | WebClient::accessResource      | heap= 76284, largest= 24564 (32.2%)
[ 1208106] WebClientModule | WebClient::accessResource      | heap= 76388, largest= 24564 (32.2%)
[ 1208107] WebClientModule | WebClient::accessResource      | heap= 75792, largest= 24564 (32.4%)
[ 1208108] TankerkoenigMod | Tankerkoenig::processData      | heap= 76516, largest= 24564 (32.1%)
[ 1208109] SofaScoreLiveMo | SofaScore::processData         | heap= 76516, largest= 24564 (32.1%)
